2026-09-04 23:07:14,221 | INFO     | [EXTRACT] Successfully read 1,000 raw rows from CSVand 0 objects from JSON.
2026-09-04 23:07:14,231 | INFO     | [TRANSFORM] Standardized 'Last Restocked' to ISO format.Valid dates before: 800, after: 800.
2026-09-04 23:07:14,235 | INFO     | [TRANSFORM] Dropped 166 duplicate rows (subset=['Product ID', 'Warehouse']).
2026-09-04 23:07:14,236 | INFO     | [TRANSFORM] Cast types: 136 unparseable Quantity value(s), 176 missing Price value(s) coerced to null (impute or drop downstream).
2026-09-04 23:07:14,261 | INFO     | [TRANSFORM] Dropped 0 duplicate rows. Standardized dates and imputed missing customer values. Reshaped structures.
2026-09-04 23:07:14,269 | INFO     | [LOAD - SQLITE] Successfully inserted 834 rowsinto SQLite table 'fact_sales'.
2026-09-04 23:07:17,729 | INFO     | [LOAD - MONGODB] Successfully inserted 834 documents into collection 'warehouse_db.sales_documents'.
2026-09-04 23:07:17,730 | INFO     | [COMPLETE] Multi-target pipeline execution finished successfully in 3.53 seconds.
2026-09-04 23:15:57,659 | INFO     | [EXTRACT] Successfully read 1,000 raw rows from CSVand 0 objects from JSON.
2026-09-04 23:15:57,674 | INFO     | [TRANSFORM] Standardized 'Last Restocked' to ISO format.Valid dates before: 800, after: 800.
2026-09-04 23:15:57,682 | INFO     | [TRANSFORM] Dropped 166 duplicate rows (subset=['Product ID', 'Warehouse']).
2026-09-04 23:15:57,683 | INFO     | [TRANSFORM] Cast types: 136 unparseable Quantity value(s), 176 missing Price value(s) coerced to null (impute or drop downstream).
2026-09-04 23:15:57,719 | INFO     | [TRANSFORM] Dropped 0 duplicate rows. Standardized dates and imputed missing customer values. Reshaped structures.
2026-09-04 23:15:57,734 | INFO     | [LOAD - SQLITE] Successfully inserted 834 rowsinto SQLite table 'fact_sales'.
2026-09-04 23:16:01,330 | INFO     | [LOAD - MONGODB] Successfully inserted 834 documents into collection 'warehouse_db.sales_documents'.
2026-09-04 23:16:01,332 | INFO     | [COMPLETE] Multi-target pipeline execution finished successfully in 3.71 seconds.
2026-09-04 23:28:30,735 | INFO     | [EXTRACT] Successfully read 1,000 raw rows from CSVand 0 objects from JSON.
2026-09-04 23:28:30,745 | INFO     | [TRANSFORM] Standardized 'Last Restocked' to ISO format.Valid dates before: 800, after: 800.
2026-09-04 23:28:30,751 | INFO     | [TRANSFORM] Dropped 166 duplicate rows (subset=['Product ID', 'Warehouse']).
2026-09-04 23:28:30,753 | INFO     | [TRANSFORM] Cast types: 136 unparseable Quantity value(s), 176 missing Price value(s) coerced to null (impute or drop downstream).
2026-09-04 23:28:30,775 | INFO     | [TRANSFORM] Dropped 0 duplicate rows. Standardized dates and imputed missing customer values. Reshaped structures.
2026-09-04 23:28:30,790 | INFO     | [LOAD - SQLITE] Successfully inserted 1,668 rowsinto SQLite table 'fact_sales'.
2026-09-04 23:28:35,854 | INFO     | [LOAD - MONGODB] Successfully inserted 615 documents into collection 'warehouse_db.sales_documents'.
2026-09-04 23:30:50,062 | INFO     | [EXTRACT] Successfully read 1,000 raw rows from CSVand 0 objects from JSON.
2026-09-04 23:30:50,076 | INFO     | [TRANSFORM] Standardized 'Last Restocked' to ISO format.Valid dates before: 800, after: 800.
2026-09-04 23:30:50,080 | INFO     | [TRANSFORM] Dropped 166 duplicate rows (subset=['Product ID', 'Warehouse']).
2026-09-04 23:30:50,080 | INFO     | [TRANSFORM] Cast types: 136 unparseable Quantity value(s), 176 missing Price value(s) coerced to null (impute or drop downstream).
